no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,gender,weather,temperature,tidal
0,2/1/2022 1:07:51 PM,"0150deb7d0,0089",Ud12b72cb97ad69f841efe9b974ffdbe1,離島出走 Isle Travel,23.63269,119.59865,226186,22,0,晴,10.5,2
1,2/1/2022 1:19:12 PM,"0150deb7d0,0340",Ua3e61aaf987823389bb9e5792db3b17d,澎湖七美莫咖啡 More Coffee,23.56492,119.56492,226211,22,1,風雨,10.5,2
2,2/1/2022 1:29:49 PM,"0150deb7d0,0102",U5fd8a6c36b2a2370bb0184a98f40b911,鄭家莊｜澎湖七美民宿,23.60018,119.50975,226243,47,0,風雨,10.5,2
4,2/1/2022 1:42:42 PM,"0150deb7d0,0171",U5bd82e43dc73309eeb6907f4289db0b1,年年有鰆,23.56733,119.56683,226267,79,1,多雲,10.5,2
5,2/1/2022 1:44:04 AM,"0150deb7d0,0112",U16f92b0df914c40495c60e84bf79adba,年年有鰆,23.57204,119.57574,225183,40,0,風雨,10.5,1
6,2/1/2022 1:44:21 AM,"0150deb7d0,0112",U715df1e900eb20c8a489602d1d2ea5cc,O2 Lab 海漂實驗室,23.57204,119.57574,225185,76,1,風雨,10.5,1
8,2/1/2022 1:57:01 PM,"0150deb7d0,0237",Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,撒野旅店 Say Yeah Inn,23.56413,119.5642,226301,58,1,風雨,10.5,1
9,2/1/2022 10:01:09 PM,"0150deb7d0,0384",U0d5a39ecd31b0b2b63f941e2d03cb796,O2 Lab 海漂實驗室,23.57429,119.57824,227469,67,0,風雨,10.5,2
13,2/1/2022 10:36:26 PM,"0150deb7d0,0401",U58001d9adfe8f94262b41bcaf841093b,撒野旅店 Say Yeah Inn,23.56584,119.56856,227536,73,0,風雨,10.5,2
14,2/1/2022 10:39:07 PM,"0150deb7d0,0157",Uc6ca45181f84f93c8037448e8d1945cd,南寮風車有機農場｜風島物產,23.56566,119.56462,227541,59,0,風雨,10.5,2
19,2/1/2022 11:28:45 PM,"0150deb7d0,0024",U3c29e39a18fb2239afcf1a9ce5da3d09,南寮風車有機農場｜風島物產,23.56625705,119.5690162,227606,80,0,風雨,10.5,2
